scheme_key,scheme_title,profile_key,profile_title,requested_cfl,actual_cfl,steps,l1_error,l2_error,max_abs_error,total_variation_ratio,overshoot,undershoot
tvd-minmod,TVD minmod,gaussian,Gaussian pulse,0.6,0.5995316159250585,427,0.0022809166236593087,0.006038477360971287,0.03487572737818445,0.9651213160444246,0.0,0.0
upwind,Upwind,gaussian,Gaussian pulse,0.65,0.649746192893401,394,0.0233988173400918,0.04359665094918699,0.14874134390038352,0.8512460465856396,0.0,0.0
lax-friedrichs,Lax-Friedrichs,gaussian,Gaussian pulse,0.65,0.649746192893401,394,0.04873049946753222,0.08679176821609214,0.2865461714250087,0.713429507230496,0.0,0.0
lax-wendroff,Lax-Wendroff,gaussian,Gaussian pulse,0.65,0.649746192893401,394,0.00154154309691085,0.003029729024525009,0.009433974637610976,0.9988021851951859,0.0,8.362706374086045e-16
tvd-minmod,TVD minmod,gaussian,Gaussian pulse,0.65,0.649746192893401,394,0.0020277773599613664,0.005424260998623762,0.03192226587147118,0.9680750279297958,0.0,0.0
upwind,Upwind,gaussian,Gaussian pulse,0.7,0.6994535519125683,366,0.020512331248844894,0.03841267832598432,0.131591763545152,0.8683970808028009,0.0,0.0
lax-friedrichs,Lax-Friedrichs,gaussian,Gaussian pulse,0.7,0.6994535519125683,366,0.042180192404970604,0.07603860125347123,0.2529466469282188,0.7470319039030777,0.0,0.0
lax-wendroff,Lax-Wendroff,gaussian,Gaussian pulse,0.7,0.6994535519125683,366,0.0013627084622854376,0.0026783519902884682,0.008331006241303895,0.998892461577361,0.0,7.428170040656746e-16
tvd-minmod,TVD minmod,gaussian,Gaussian pulse,0.7,0.6994535519125683,366,0.0017704089564414855,0.004777655767890274,0.028814422488739,0.9711831347788514,0.0,0.0
upwind,Upwind,gaussian,Gaussian pulse,0.75,0.750733137829912,341,0.017404110219782446,0.03277025259251564,0.11276778756700445,0.887222652581644,0.0,0.0
lax-friedrichs,Lax-Friedrichs,gaussian,Gaussian pulse,0.75,0.750733137829912,341,0.03542803878121078,0.0646268080364323,0.21676393075979306,0.7832176922579726,0.0,0.0
lax-wendroff,Lax-Wendroff,gaussian,Gaussian pulse,0.75,0.750733137829912,341,0.0011644163484902774,0.002288732252948849,0.00711091949873921,0.9990479202612698,0.0,6.406773671151304e-16
tvd-minmod,TVD minmod,gaussian,Gaussian pulse,0.75,0.750733137829912,341,0.001476887741906157,0.004067288356584347,0.025389498978571234,0.9746083486356958,0.0,0.0
upwind,Upwind,gaussian,Gaussian pulse,0.8,0.8,320,0.014288033313606813,0.027041006053034396,0.09348177999628526,0.9065102951184058,0.0,0.0
lax-friedrichs,Lax-Friedrichs,gaussian,Gaussian pulse,0.8,0.8,320,0.028856666760009936,0.05324272769177504,0.18013423740298296,0.8198927461878782,0.0,0.0
lax-wendroff,Lax-Wendroff,gaussian,Gaussian pulse,0.8,0.8,320,0.0009606858548910146,0.0018883991826770564,0.005860331470542213,0.9992116996024644,0.0,5.151963372404042e-16
tvd-minmod,TVD minmod,gaussian,Gaussian pulse,0.8,0.8,320,0.001180151330980351,0.00335477737520634,0.021839555823398027,0.9781585927360399,0.0,0.0
upwind,Upwind,gaussian,Gaussian pulse,0.85,0.8504983388704319,301,0.010940421098225826,0.02082405833381999,0.07235287154790959,0.9276409947630001,0.0,0.0
lax-friedrichs,Lax-Friedrichs,gaussian,Gaussian pulse,0.85,0.8504983388704319,301,0.021957075035831816,0.04101865622895234,0.1401660833252678,0.8599567986960316,0.0,0.0
lax-wendroff,Lax-Wendroff,gaussian,Gaussian pulse,0.85,0.8504983388704319,301,0.000738391029686405,0.00145154254211356,0.004499030471519783,0.9993932528018471,0.0,3.4198689388456737e-16
tvd-minmod,TVD minmod,gaussian,Gaussian pulse,0.85,0.8504983388704319,301,0.0008997338823077258,0.002602464492442457,0.01785578662435161,0.9821426996577043,0.0,1.742444281382216e-15
upwind,Upwind,gaussian,Gaussian pulse,0.9,0.9014084507042254,284,0.007396252043094456,0.014167147380599184,0.04949140294858956,0.9505044014353232,0.0,0.0
lax-friedrichs,Lax-Friedrichs,gaussian,Gaussian pulse,0.9,0.9014084507042254,284,0.014795000540492917,0.027978404029768717,0.09665773295024527,0.9035184737759648,0.0,0.0
lax-wendroff,Lax-Wendroff,gaussian,Gaussian pulse,0.9,0.9014084507042254,284,0.0005004468481584484,0.0009838688277797425,0.0030454863475571914,0.9995891388991281,0.0,1.7975240392211079e-16
tvd-minmod,TVD minmod,gaussian,Gaussian pulse,0.9,0.9014084507042254,284,0.0006143864425895074,0.0018140144494819858,0.013325499194325574,0.9866733711412341,0.0,3.596885807509188e-15
upwind,Upwind,gaussian,Gaussian pulse,0.95,0.9516728624535316,269,0.003717613578293564,0.007169847735185952,0.02519110637710298,0.9748067580558258,0.0,0.0
lax-friedrichs,Lax-Friedrichs,gaussian,Gaussian pulse,0.95,0.9516728624535316,269,0.007427894597375311,0.014228038627428292,0.04973870017054538,0.9504124452409779,0.0,0.0
lax-wendroff,Lax-Wendroff,gaussian,Gaussian pulse,0.95,0.9516728624535316,269,0.00025185431989943916,0.0004951864003818699,0.0015307294582399544,0.9997938847105374,0.0,0.0
tvd-minmod,TVD minmod,gaussian,Gaussian pulse,0.95,0.9516728624535316,269,0.0003103038728312604,0.0009680951286688285,0.007976563941066828,0.9920227598485707,0.0,2.1881068461150416e-15
upwind,Upwind,gaussian,Gaussian pulse,1.0,1.0,256,0.0,0.0,0.0,1.0,0.0,0.0
lax-friedrichs,Lax-Friedrichs,gaussian,Gaussian pulse,1.0,1.0,256,1.1067107876077019e-17,3.2599145573381265e-17,1.1102230246251565e-16,1.0000000000000002,1.1102230246251565e-16,0.0
lax-wendroff,Lax-Wendroff,gaussian,Gaussian pulse,1.0,1.0,256,1.2586968214364686e-17,3.4495792116632285e-17,1.1102230246251565e-16,0.9999999999999999,0.0,0.0
tvd-minmod,TVD minmod,gaussian,Gaussian pulse,1.0,1.0,256,0.0,0.0,0.0,1.0,0.0,0.0
upwind,Upwind,square,Square pulse,0.2,0.2,1280,0.08913602276874172,0.1633906856841061,0.4897518585139573,0.8919132575568831,0.0,0.0
lax-friedrichs,Lax-Friedrichs,square,Square pulse,0.2,0.2,1280,0.1942003126239672,0.27684333577481723,0.5892028003287291,0.48552910629472734,0.0,0.0
lax-wendroff,Lax-Wendroff,square,Square pulse,0.2,0.2,1280,0.057205356875295994,0.1217180398540178,0.6262976540712089,2.5383148212845543,0.2604102255202083,0.2515244582871948
tvd-minmod,TVD minmod,square,Square pulse,0.2,0.2,1280,0.031551062798036024,0.09260771240276061,0.47501064273886434,0.9994296268586397,0.0,1.0474366981251275e-14
upwind,Upwind,square,Square pulse,0.25,0.25,1024,0.08631740326586072,0.1604395156685285,0.48862429219403214,0.9029623716837136,0.0,0.0
lax-friedrichs,Lax-Friedrichs,square,Square pulse,0.25,0.25,1024,0.178422532064866,0.26033876960141866,0.5617904531127585,0.5413969497304864,0.0,0.0
lax-wendroff,Lax-Wendroff,square,Square pulse,0.25,0.25,1024,0.05473294808068733,0.11971301495760127,0.6249103405063092,2.3858671104094458,0.25627573625665634,0.24487100961855207
tvd-minmod,TVD minmod,square,Square pulse,0.25,0.25,1024,0.030841844094008617,0.09144653212900619,0.46977953370781417,0.9995475063687123,0.0,9.921176381292678e-15
upwind,Upwind,square,Square pulse,0.3,0.30011723329425555,853,0.08339146526487272,0.15738550236848836,0.48748729593717355,0.9141340662127427,0.0,0.0
lax-friedrichs,Lax-Friedrichs,square,Square pulse,0.3,0.30011723329425555,853,0.16475659060945397,0.24579785543350946,0.5513859246160033,0.5906143194763878,0.0,0.0
lax-wendroff,Lax-Wendroff,square,Square pulse,0.3,0.30011723329425555,853,0.052534935429983796,0.11770480839993643,0.6234012535272803,2.2783925734835293,0.251611626455416,0.24177274768597062
tvd-minmod,TVD minmod,square,Square pulse,0.3,0.30011723329425555,853,0.030101266367837637,0.09024274893378552,0.46444498508081167,0.9996516342324716,0.0,1.0048387629740628e-14
upwind,Upwind,square,Square pulse,0.35,0.35020519835841313,731,0.08035668943170074,0.15422345326757816,0.4863244062073254,0.9253410249042945,0.0,0.0
lax-friedrichs,Lax-Friedrichs,square,Square pulse,0.35,0.35020519835841313,731,0.15250062873288522,0.23249416638545853,0.5372585720140033,0.6360114548353922,0.0,0.0
lax-wendroff,Lax-Wendroff,square,Square pulse,0.35,0.35020519835841313,731,0.05041229742334704,0.11562169251631185,0.6272437161301896,2.193744406274515,0.24614447386453442,0.2389666480781151
tvd-minmod,TVD minmod,square,Square pulse,0.35,0.35020519835841313,731,0.029329426954554316,0.08899790626166346,0.4591111258447631,0.9997402239273928,0.0,9.56295292202038e-15
upwind,Upwind,square,Square pulse,0.4,0.4,640,0.07721834032164038,0.15095280071768313,0.4851171443515844,0.9364088689986196,0.0,0.0
lax-friedrichs,Lax-Friedrichs,square,Square pulse,0.4,0.4,640,0.14126782346335087,0.22004088568467103,0.5121398393727654,0.6788040322172663,0.0,0.0
lax-wendroff,Lax-Wendroff,square,Square pulse,0.4,0.4,640,0.04837082208961635,0.11343835302234977,0.6287068025314048,2.108181604759081,0.24150856372693696,0.23676344369550914
tvd-minmod,TVD minmod,square,Square pulse,0.4,0.4,640,0.028525899123493105,0.08771105231056966,0.45385213065645325,0.9998134137068055,0.0,8.75749761486177e-15
