scheme_key,scheme_title,requested_cfl,actual_cfl,diffusion_coeff,dispersion_coeff,gaussian_l2_error,square_l2_error,square_overshoot,square_total_variation_ratio
lax-wendroff,Lax-Wendroff,0.5,0.5,4.786338758232957e-09,0.06249999834736401,0.003932214209784383,0.10873413519948516,0.23523718577402342,1.9834001979586444
tvd-minmod,TVD minmod,0.5,0.5,,,0.007161989222202866,0.08481475057229966,0.0,0.9999180362608602
tvd-mc,TVD MC,0.5,0.5,,,0.0011982086557743386,0.06521278082721794,3.1086244689504383e-15,1.0000000000000502
tvd-superbee,TVD Superbee,0.5,0.5,,,0.00406824563785262,0.04413456112796706,1.199040866595169e-14,1.0000000000000642
upwind,Upwind,0.65,0.649746192893401,0.11374999925037226,-0.011375001007409697,0.04359665094918699,0.13141334812494812,0.0,0.9849078564495548
lax-friedrichs,Lax-Friedrichs,0.65,0.649746192893401,0.2887499963144028,-0.1251250026111772,0.08679176821609214,0.16829562730930686,0.0,0.8729910478471148
lax-wendroff,Lax-Wendroff,0.65,0.649746192893401,5.062730752951494e-09,0.06256249913506667,0.003029729024525009,0.10110361237380673,0.22009701078933608,1.8079464349210024
tvd-minmod,TVD minmod,0.65,0.649746192893401,,,0.005424260998623762,0.07988460982541477,0.0,0.9999882923595448
tvd-mc,TVD MC,0.65,0.649746192893401,,,0.0010719437498434173,0.06261871177845119,1.5987211554602254e-14,1.0000000000000537
tvd-superbee,TVD Superbee,0.65,0.649746192893401,,,0.003269386977911873,0.043947350771546385,2.353672812205332e-14,1.0000000000000613
upwind,Upwind,0.8,0.8,0.07999999961702169,-0.016000001857984912,0.027041006053034396,0.11414575783050594,0.0,0.9987432250209718
lax-friedrichs,Lax-Friedrichs,0.8,0.8,0.17999999318500873,-0.09600000220112397,0.05324272769177504,0.13980274764201833,0.0,0.9684719551877862
lax-wendroff,Lax-Wendroff,0.8,0.8,4.479844999279168e-09,0.047999996997746146,0.0018883991826770564,0.09046421878501816,0.19651263887088422,1.6326196201273975
tvd-minmod,TVD minmod,0.8,0.8,,,0.00335477737520634,0.07255449538860839,0.0,0.9999998119837643
tvd-mc,TVD MC,0.8,0.8,,,0.00085178526501454,0.05877690047847719,1.84297022087776e-14,1.0000000000000415
tvd-superbee,TVD Superbee,0.8,0.8,,,0.0022090225537605467,0.04342019480378106,1.865174681370263e-14,1.0000000000000424
upwind,Upwind,0.9,0.9014084507042254,0.04499999795445224,-0.012000001896414498,0.014167147380599184,0.09551689283704642,0.0,0.9999968011895999
lax-friedrichs,Lax-Friedrichs,0.9,0.9014084507042254,0.09499999423865511,-0.0570000005244045,0.027978404029768717,0.114842792665416,0.0,0.9986645198055214
lax-wendroff,Lax-Wendroff,0.9,0.9014084507042254,3.916955571773221e-09,0.028499995338823244,0.0009838688277797425,0.07827373218041263,0.17634510886369603,1.4976070296437631
tvd-minmod,TVD minmod,0.9,0.9014084507042254,,,0.0018140144494819858,0.06394499705075848,0.0,0.9999999999661431
tvd-mc,TVD MC,0.9,0.9014084507042254,,,0.0005585153503724383,0.053537717056068294,7.105427357601002e-15,1.0000000000000195
tvd-superbee,TVD Superbee,0.9,0.9014084507042254,,,0.0012871659100274534,0.04212622807656846,6.217248937900877e-15,1.0000000000000189
upwind,Upwind,0.95,0.9516728624535316,0.02374999831975045,-0.007124998318545108,0.007169847735185952,0.07970552888452087,0.0,0.9999999999998884
lax-friedrichs,Lax-Friedrichs,0.95,0.9516728624535316,0.04874999610190409,-0.030874998907623897,0.014228038627428292,0.09810354090330213,0.0,0.9999997623231666
lax-wendroff,Lax-Wendroff,0.95,0.9516728624535316,7.405414877195633e-10,0.015437501253756961,0.0004951864003818699,0.06731075713828591,0.1496794408710469,1.3898796755251532
tvd-minmod,TVD minmod,0.95,0.9516728624535316,,,0.0009680951286688285,0.05591105646745133,6.661338147750939e-16,1.0000000000000029
tvd-mc,TVD MC,0.95,0.9516728624535316,,,0.00033588069070021083,0.04816583429747315,8.881784197001252e-16,1.000000000000007
tvd-superbee,TVD Superbee,0.95,0.9516728624535316,,,0.0007465656227433727,0.04016282799131569,1.3322676295501878e-15,1.0000000000000078
